,start_time,end_time,P_total
726,2025-12-22 09:07:00,2025-12-22 09:33:00,4.116
720,2025-11-24 13:31:00,2025-11-24 14:03:00,4.104
459,2024-09-15 00:18:00,2024-09-15 00:37:00,4.096
291,2023-09-05 09:05:00,2023-09-05 09:49:00,4.073
710,2025-11-05 10:38:00,2025-11-05 11:04:00,4.053
104,2022-09-04 10:28:00,2022-09-04 10:55:00,4.009
193,2023-04-20 08:04:00,2023-04-20 08:35:00,3.976
619,2025-08-15 04:20:00,2025-08-15 04:41:00,3.957
507,2024-10-27 13:38:00,2024-10-27 14:31:00,3.945
562,2025-05-21 11:44:00,2025-05-21 13:25:00,3.936
661,2025-09-22 04:16:00,2025-09-22 06:43:00,3.877
657,2025-09-16 19:57:00,2025-09-16 20:15:00,3.867
590,2025-06-19 20:04:00,2025-06-19 22:17:00,3.803
114,2022-09-14 05:32:00,2022-09-14 06:18:00,3.785
89,2022-08-16 06:01:00,2022-08-16 06:23:00,3.772
506,2024-10-27 06:36:00,2024-10-27 06:52:00,3.768
359,2024-05-04 13:01:00,2024-05-04 13:13:00,3.764
251,2023-07-19 20:40:00,2023-07-19 21:56:00,3.707
308,2023-09-23 14:18:00,2023-09-23 15:53:00,3.69
312,2023-09-27 04:27:00,2023-09-27 06:12:00,3.689
203,2023-05-25 07:44:00,2023-05-25 07:52:00,3.669
162,2022-11-07 06:53:00,2022-11-07 07:26:00,3.663
248,2023-07-17 08:21:00,2023-07-17 10:11:00,3.655
109,2022-09-10 18:20:00,2022-09-10 18:50:00,3.625
285,2023-08-31 05:48:00,2023-08-31 06:44:00,3.611
329,2023-10-13 05:34:00,2023-10-13 06:25:00,3.594
667,2025-09-26 22:18:00,2025-09-26 22:44:00,3.529
772,2026-06-10 06:23:00,2026-06-10 06:42:00,3.524
684,2025-10-13 03:40:00,2025-10-13 04:49:00,3.456
344,2023-11-02 07:55:00,2023-11-02 08:30:00,3.427
276,2023-08-20 06:42:00,2023-08-20 08:39:00,3.419
135,2022-10-01 09:11:00,2022-10-01 10:59:00,3.414
296,2023-09-09 10:23:00,2023-09-09 14:20:00,3.386
733,2026-02-11 06:27:00,2026-02-11 06:42:00,3.36
614,2025-08-11 06:26:00,2025-08-11 08:19:00,3.343
269,2023-08-04 06:08:00,2023-08-04 06:48:00,3.314
685,2025-10-13 11:25:00,2025-10-13 11:51:00,3.309
211,2023-06-05 11:08:00,2023-06-05 12:07:00,3.288
177,2022-12-03 11:18:00,2022-12-03 12:51:00,3.26
739,2026-03-06 07:24:00,2026-03-06 08:32:00,3.255
477,2024-10-02 07:16:00,2024-10-02 07:47:00,3.234
749,2026-05-16 11:24:00,2026-05-16 13:09:00,3.218
175,2022-11-24 03:49:00,2022-11-24 04:05:00,3.206
94,2022-08-25 11:16:00,2022-08-25 12:48:00,3.128
70,2022-07-16 11:04:00,2022-07-16 11:33:00,3.103
403,2024-07-14 09:08:00,2024-07-14 09:26:00,3.073
187,2023-01-27 09:44:00,2023-01-27 10:18:00,3.069
49,2022-06-23 11:50:00,2022-06-23 13:52:00,3.063
689,2025-10-18 07:45:00,2025-10-18 08:06:00,3.036
489,2024-10-12 04:12:00,2024-10-12 05:01:00,3.033
764,2026-05-30 13:03:00,2026-05-30 13:21:00,3.03
576,2025-06-04 08:40:00,2025-06-04 09:00:00,3.022
557,2025-05-10 01:53:00,2025-05-10 03:18:00,3.021
651,2025-09-10 13:26:00,2025-09-10 14:40:00,3.017
690,2025-10-19 09:48:00,2025-10-19 10:13:00,3.003
399,2024-07-09 16:31:00,2024-07-09 17:40:00,2.985
356,2023-12-20 08:59:00,2023-12-20 09:08:00,2.974
645,2025-09-07 05:22:00,2025-09-07 06:14:00,2.959
577,2025-06-06 04:22:00,2025-06-06 04:36:00,2.947
363,2024-05-09 06:09:00,2024-05-09 06:45:00,2.925
337,2023-10-23 04:44:00,2023-10-23 05:11:00,2.921
511,2024-11-02 12:54:00,2024-11-02 13:00:00,2.887
416,2024-07-25 16:03:00,2024-07-25 16:17:00,2.886
320,2023-10-02 16:47:00,2023-10-02 17:39:00,2.823
515,2024-11-08 09:55:00,2024-11-08 10:07:00,2.785
546,2025-04-01 12:21:00,2025-04-01 13:13:00,2.771
154,2022-10-25 12:00:00,2022-10-25 12:20:00,2.752
335,2023-10-21 09:59:00,2023-10-21 10:05:00,2.731
551,2025-04-26 06:58:00,2025-04-26 07:13:00,2.671
98,2022-08-28 12:13:00,2022-08-28 12:23:00,2.669
84,2022-08-07 21:51:00,2022-08-07 22:10:00,2.669
152,2022-10-24 11:17:00,2022-10-24 11:25:00,2.662
316,2023-10-01 10:27:00,2023-10-01 13:01:00,2.657
592,2025-06-20 07:33:00,2025-06-20 08:13:00,2.617
258,2023-07-23 12:59:00,2023-07-23 13:13:00,2.616
688,2025-10-17 08:14:00,2025-10-17 08:23:00,2.571
746,2026-05-02 09:12:00,2026-05-02 09:40:00,2.505
159,2022-11-03 09:17:00,2022-11-03 09:56:00,2.479
563,2025-05-21 14:33:00,2025-05-21 16:19:00,2.468
163,2022-11-09 15:54:00,2022-11-09 16:04:00,2.465
222,2023-06-24 07:54:00,2023-06-24 08:13:00,2.464
331,2023-10-14 16:20:00,2023-10-14 16:41:00,2.463
417,2024-07-27 09:08:00,2024-07-27 10:28:00,2.457
334,2023-10-19 15:25:00,2023-10-19 15:58:00,2.455
718,2025-11-16 06:48:00,2025-11-16 07:32:00,2.429
398,2024-07-07 01:54:00,2024-07-07 02:22:00,2.353
252,2023-07-20 08:15:00,2023-07-20 08:25:00,2.35
80,2022-08-03 11:28:00,2022-08-03 14:32:00,2.334
263,2023-07-26 11:30:00,2023-07-26 11:55:00,2.327
754,2026-05-21 00:00:00,2026-05-21 00:17:00,2.279
321,2023-10-04 06:04:00,2023-10-04 06:21:00,2.231
522,2024-11-21 13:35:00,2024-11-21 13:59:00,2.226
481,2024-10-04 10:35:00,2024-10-04 11:18:00,2.223
453,2024-09-10 09:07:00,2024-09-10 10:35:00,2.213
